31,SEATTLE TIMES COMPANY,Corporation,TIMES #001,511110,Newspaper Publishers,270,"Newspapers: Publishing, or Publishing and Printing",07/04/2043 12:00:00 AM,"SEATTLE, WA 98109-5340",2012,98109
144,YWCA SEATTLE KING COUNTY,Corporation,ANGELINES,813410,Civic and Social Organizations,957,"Civic, Social, and Fraternal Associations",01/01/1990 12:00:00 AM,"SEATTLE, WA 98121-2431",2012,98121
144,YWCA SEATTLE KING COUNTY,Corporation,YWCA HOLLY COURT,813410,Civic and Social Organizations,957,"Civic, Social, and Fraternal Associations",01/01/2006 12:00:00 AM,"SEATTLE, WA 98118-3529",2012,98118
205,BARTELL DRUG COMPANY,Corporation,BARTELL DRUG COMPANY,446110,Pharmacies and Drug Stores,750,Drug Stores and Proprietary Stores,01/01/2001 12:00:00 AM,"SEATTLE, WA 98106-1273",2012,98106
260,BANK OF AMERICA NA,Corporation,BANK OF AMERICA BROADWAY BRANCH,522110,Commercial Banking,775,National Commercial Banks,01/01/1987 12:00:00 AM,"SEATTLE, WA 98102-5724",2012,98102
413,THE BOEING CO,Corporation,THE BOEING COMPANY,561499,All Other Business Support Services,NULL,NULL,01/01/2012 12:00:00 AM,"SEATTLE, WA 98108-4848",2012,98108
413,THE BOEING CO,Corporation,THE BOEING COMPANY,561499,All Other Business Support Services,NULL,NULL,03/22/2012 12:00:00 AM,"SEATTLE, WA 98101-3800",2012,98101
478,FISHER BROADCASTING CO,Corporation,FISHER BROADCASTING CO,515120,Television Broadcasting,623,Television Broadcasting Stations,01/19/1970 12:00:00 AM,"SEATTLE, WA 98109-4940",2012,98109
499,SEATTLE MORTGAGE CO,Sole Proprietor,SEATTLE MORTGAGE CO,522310,Mortgage and Nonmortgage Loan Brokers,NULL,NULL,05/01/2012 12:00:00 AM,"SEATTLE, WA 98121-1251",2012,98121
702,NORDSTROM INC,Corporation,NORDSTROM RACK,448140,Family Clothing Stores,NULL,NULL,11/08/2012 12:00:00 AM,"SEATTLE, WA 98125-6020",2012,98125
754,NATIONAL SECURITIES CORP,Corporation,NATIONAL SECURITIES CORP,523999,Miscellaneous Financial Investment Activities,792,"Security Brokers, Dealers, and Flotation Companies",01/01/1987 12:00:00 AM,"SEATTLE, WA 98154-1193",2012,98154
1750,GROUP HEALTH COOPERATIVE,Corporation,GROUP HEALTH COOPERATIVE,622110,General Medical and Surgical Hospitals,929,General Medical and Surgical Hospitals,05/01/2049 12:00:00 AM,"SEATTLE, WA 98109-5233",2012,98109
2165,KELLY SERVICES INC,Corporation,KELLY SERVICES INC,561311,Employment Placement Agencies,NULL,NULL,01/01/2011 12:00:00 AM,"SEATTLE, WA 98101-1385",2012,98101
3032,BEN BRIDGE JEWELER INC,Corporation,BEN BRIDGE JEWELER INC - #99,448310,Jewelry Stores,NULL,NULL,07/11/2008 12:00:00 AM,"SEATTLE, WA 98105-5031",2012,98105
3032,BEN BRIDGE JEWELER INC,Corporation,PANDORA BY BEN BRIDGE - 200,448310,Jewelry Stores,NULL,NULL,09/24/2010 12:00:00 AM,"SEATTLE, WA 98105-5023",2012,98105
3055,SUTTER EDWARD G,Sole Proprietor,EDWARD G SUTTER DDS,621210,Offices of Dentists,920,Offices and Clinics of Dentists,08/10/1959 12:00:00 AM,"SEATTLE, WA 98101-2830",2012,98101
3518,THE RUPP GROUP INC,Corporation,NRG SEATTLE,524210,Insurance Agencies and Brokerages,805,"Insurance Agents, Brokers, and Service",04/01/1961 12:00:00 AM,"SEATTLE, WA 98115-3853",2012,98115
4064,WESTERN MARINE CONSTRUCTION IN,Corporation,WESTERN MARINE CONSTRUCTION IN,237990,Other Heavy and Civil Engineering Construction,98,"Heavy Construction, Not Elsewhere Classified",04/01/1967 12:00:00 AM,"SEATTLE, WA 98126-2138",2012,98126
4633,DATA & STAFF SERVICE CO,Corporation,DATA & STAFF SERVICE CO,443120,Computer and Software Stores,745,Computer and Computer Software Stores,01/04/1965 12:00:00 AM,"SEATTLE, WA 98121-3017",2012,98121
4978,NORTHWEST CENTER,Corporation,NWC KIDS - CHINOOK,624110,Child and Youth Services,NULL,NULL,11/29/2010 12:00:00 AM,"SEATTLE, WA 98104-1818",2012,98104
4980,GENUINE PARTS COMPANY,Corporation,GENUINE PARTS COMPANY,423140,Motor Vehicle Parts (Used) Merchant Wholesalers,643,"Motor Vehicle Parts, Used",12/01/1965 12:00:00 AM,"SEATTLE, WA 98134-2431",2012,98134
5336,SEATTLE MENTAL HEALTH INSTITUTE INC,Corporation,SOUND MENTAL HEALTH,621420,Outpatient Mental Health and Substance Abuse Centers,NULL,NULL,01/30/2011 12:00:00 AM,"SEATTLE, WA 98112-5212",2012,98112
7856,SMITH GOODFRIEND PS,Corporation,SMITH GOODFRIEND PS,541110,Offices of Lawyers,938,Legal Services,11/16/1971 12:00:00 AM,"SEATTLE, WA 98109-3007",2012,98109
